"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Risk aversion and the yield of corporate debt","","Wu, Chunchi; Yu, Chih-Hsien","Journal of Banking and Finance","Undefined","","20","2","1996-01-01","1996","267","281","267-281","0378-4266","0378-4266","","ENG","This paper develops a model to estimate the implied default probability of corporate bonds. The model explicitly considers the risk averse behavior of investors to provide a more precise framework for estimating the implied default probability. A Kalman filter method is used to estimate time-varying risk premium associated with the investor's risk aversion. The results of nonlinear regressions indicate that previous risk-neutrality models consistently overestimate the implied default rates of corporate bonds. The results also suggest that investors may have been adequately compensated for investment in risky bonds.","https://www.proquest.com/docview/15856561?accountid=12870&bdid=124553&_bd=j%2FMEXg3CiU3uTgxRIDMd7Ryhxxg%3D",""
"Equity securities analysis in the U.S.","","Muller, Frederick L","Financial Analysts Journal","Scholarly Journals","","50","1","1994-01-01","Jan-Feb 1994","6","","6","0015198X","","","ENG","An overview of the development of securities analysis in the US is presented.  The first coherent framework for analyzing securities came in 1934 with the publication of Security Analysis, by Benjamin Graham and David Dodd.  Security Analysis offered a rigorous approach to determining the fundamental worth of a company's balance sheet and earning power.  In the 1970s, three powerful forces converged to change the way long-term capital is invested.  1.  The ideas of Modern Portfolio Theory were increasingly disseminated.  2.  The amount of assets flowing to professional investment institutions exploded, fueled by ERISA.  3.  After the bear market of 1970 and the devastation of wealth in 1973 and 1974, skepticism about the ability of investment managers to earn excess returns beame pervasive.  Today, passive management appears to have peaked but will remain important.  The CAPM is also under seige, but the evidence against it is not yet convincing.  The future likely holds advances in fundamental analysis and nonlinear systems.","https://www.proquest.com/docview/219233447?accountid=12870&bdid=124553&_bd=dKwdTlFW%2BwHLwY0AEteJGU6LQIQ%3D",""
"On LASSO for predictive regression","","Lee, Ji Hyung; Shi, Zhentao; Gao, Zhan","Journal of Econometrics","Scholarly Journals","","229","2","2022-08-01","Aug 2022","322","","","03044076","","","ENG","Explanatory variables in a predictive regression typically exhibit low signal strength and various degrees of persistence. Variable selection in such a context is of great importance. In this paper, we explore the pitfalls and possibilities of the LASSO methods in this predictive regression framework. In the presence of stationary, local unit root, and cointegrated predictors, we show that the adaptive LASSO cannot asymptotically eliminate all cointegrating variables with zero regression coefficients. This new finding motivates a novel post-selection adaptive LASSO, which we call the twin adaptive LASSO (TAlasso), to restore variable selection consistency. Accommodating the system of heterogeneous regressors, TAlasso achieves the well-known oracle property. In contrast, conventional LASSO fails to attain coefficient estimation consistency and variable screening in all components simultaneously. We apply these LASSO methods to evaluate the short- and long-horizon predictability of S&P 500 excess returns.","https://www.proquest.com/docview/2727703194?accountid=12870&bdid=124553&_bd=RW4Us41Ldzd7bTKYZRrEOO44gFM%3D","https://doi.org/10.1016/j.jeconom.2021.02.002"
"An Evaluation of Machine Learning Models for Forecasting Short-Term U.S. Treasury Yields","","Yi-Fan, Wang; Wang, Max Yue-Feng; Li-Ying, Tu","Applied Sciences","Scholarly Journals","","15","12","2025-01-01","2025","6903","","","20763417","","","ENG","This study explores the historical evolution and short-term predictive modeling of the U.S. 10-year Treasury bond yield, a critical indicator in global financial markets. Recognizing its sensitivity to macroeconomic conditions, the research integrates economic variables, including the federal funds rate, core Consumer Price Index (CPI), real Gross Domestic Product (GDP) growth rate, and the U.S. federal debt growth rate, to assess their influence on yield movements. Four forecasting models are employed for comparative analysis: linear regression (LR), decision tree (DT), random forest (RF), and multilayer perceptron (MLP) neural networks. Using historical data from the Federal Reserve Economic Data (FRED), this study finds that the RF model offers the most accurate short-term predictions, achieving the lowest mean squared error (MSE) and mean absolute error (MAE), with an R2 value of 0.5760. The results highlight the superiority of ensemble-based nonlinear models in capturing complex interactions between economic indicators and yield dynamics. This research not only provides empirical support for using machine learning in economic forecasting but also offers practical implications for bond traders, system developers, and financial institutions aiming to enhance predictive accuracy and risk management.","https://www.proquest.com/docview/3223875273?accountid=12870&bdid=124553&_bd=KVZLqM5Ka5Da6wwHlAN58CimMn4%3D","https://doi.org/10.3390/app15126903"
"Can climate change attention predict energy stock returns?","","Jia, Shanghui; Liu, Yingke; Jin, Jiayu","Environmental Science and Pollution Research","Scholarly Journals","","30","38","2023-08-01","Aug 2023","89253","89269","89253-89269","09441344","","","ENG","We propose a climate change attention (CCA) index based on Google search volume index (GSVI) from 2004 to 2021 and show that it is an economically and statistically significant negative predictor for next month’s energy stock returns. The index is extracted using principal component analysis (PCA), but the results are similar by using the equal-weighted average method. Compared with 14 traditional macroeconomic predictors, CCA performs the best and provides complementary information when added into bivariate and multivariate macro predictive models. When further considering the effect of CCA’s forecasting power over different periods, strong evidence is shown that this outperformance is especially prominent in economic depressions and down market conditions. From the asset allocation perspective, CCA can provide a mean-variance investor with significant economic gains under alternative risk aversions. Our empirical results prove that investors’ attention to climate change contains predictive information for excess returns of global traditional energy stock index.","https://www.proquest.com/docview/2848014306?accountid=12870&bdid=124553&_bd=3fYiTvDTkwF6z4cTeppKlapWRgs%3D","https://doi.org/10.1007/s11356-023-28731-2"
"Maximum likelihood estimation of non-affine volatility processes","","Chourdakis, K; Dotsis, G","Journal of empirical finance","Undefined","","18","3","2011-06-01","Jun 2011","533","545","533-545","0927-5398","0927-5398","","ENG","In this paper we develop a new estimation method for extracting non-affine latent stochastic volatility and risk premia from measures of model-free realized and risk-neutral integrated volatility. We estimate non-affine models with nonlinear drift and constant elasticity of variance and we compare them to the popular square-root stochastic volatility model. Our empirical findings are: (1) the square-root model is misspecified; (2) the inclusion of constant elasticity of variance and nonlinear drift captures stylized facts of volatility dynamics and (3) the square-root stochastic volatility model is explosive under the risk-neutral probability measure. All rights reserved, Elsevier","https://www.proquest.com/docview/873846255?accountid=12870&bdid=124553&_bd=b%2BJ4WPig1AHb2l2a0zVcgEvMH8w%3D","https://doi.org/10.1016/j.jempfin.2010.10.006"
"Oil price dynamics and speculation","","Cifarelli, G; Paladino, Giovanna","Energy economics","Undefined","","32","2","2010-03-01","Mar 2010","363","372","363-372","0140-9883","0140-9883","","ENG","This paper assesses empirically whether speculation affects oil price dynamics. The growing presence of financial operators in the oil markets has led to the diffusion of trading techniques based on extrapolative expectations. Strategies of this kind foster feedback trading that may cause considerable departures of prices from their fundamental values. We investigate this hypothesis using a modified CAPM following Shiller (1984) and Sentana and Wadhwani (1992). First, a univariate GARCH(1,1)-M is estimated assuming the risk premium to be a function of the conditional oil price volatility. The single factor model, however, is outperformed by the multifactor ICAPM (Merton, 1973), which takes into account a larger investment opportunity set. Analysis is then carried out using a trivariate CCC GARCH-M model with complex nonlinear conditional mean equations where oil price dynamics are associated with both stock market and exchange rate behavior. We find strong evidence that oil price shifts are negatively related to stock price and exchange rate changes and that a complex web of time-varying first and second order conditional moment interactions affects both the CAPM and feedback trading components of the model. Despite the difficulties, we identify a significant role played by speculation in the oil market, which is consistent with the observed large daily upward and downward shifts in prices - a clear evidence that it is not a fundamental-driven market. Thus, from a policy point of view - given the impact of volatile oil prices on global inflation and growth - actions that monitor speculative activities on commodity markets more effectively are to be welcomed. All rights reserved, Elsevier","https://www.proquest.com/docview/37268225?accountid=12870&bdid=124553&_bd=1dD%2FSyfZZ9LEPoI3aPVQD3rxUYs%3D","https://doi.org/10.1016/j.eneco.2009.08.014"
"Stochastic interest rates in the analysis of energy investments: Implications on economic performance and sustainability","","Tolis, Athanasios; Doukelis, Aggelos; Tatsiopoulos, Ilias","Applied Energy","Undefined","Elsevier Science, The Boulevard Kidlington Oxford OX5 1GB United Kingdom","87","8","2010-08-01","Aug 2010","2479","2490","2479-2490","0306-2619","0306-2619","","ENG","A systematic impact assessment of stochastic interest and inflation rates on the analysis of energy investments is presented. A real-options algorithm has been created for this task. Constant interest rates incorporating high risk premium have been extensively used for economic calculations, within the framework of traditional direct cash flow methods, thus favouring immediate, irreversible investments in the expense of, sometimes, insubstantially low anticipated yields. In this article, not only incomes and expenses but also interest and inflation rates are considered stochastically evolving according to specific probabilistic models. The numerical experiments indicated that the stochastic interest rate forecasts fluctuate in such low levels that may signal delayed investment entry in favour of higher expected yields. The implementation of stochastically evolving interest rates in energy investment analysis may have a controversial effect on sustainability. Displacements of inefficient plants may be significantly delayed, thus prolonging high CO sub(2) emission rates. Under the current CO sub(2) allowance prices or their medium-term forecasts, this situation may not be improved and flexible policy interventions may be necessitated.","https://www.proquest.com/docview/1671296851?accountid=12870&bdid=124553&_bd=lFBg89HsqueV3cvNv9uwPsdjqVA%3D","https://doi.org/10.1016/j.apenergy.2009.11.033"
"Anomalies and the Expected Market Return","","Dong, Xi; Li, Yan; Rapach, David E; Zhou, Guofu","The Journal of Finance","Scholarly Journals","","77","1","2022-02-01","Feb 2022","639","681","639-681","00221082","","","ENG","We provide the first systematic evidence on the link between long‐short anomaly portfolio returns—a cornerstone of the cross‐sectional literature—and the time‐series predictability of the aggregate market excess return. Using 100 representative anomalies from the literature, we employ a variety of shrinkage techniques (including machine learning, forecast combination, and dimension reduction) to efficiently extract predictive signals in a high‐dimensional setting. We find that long‐short anomaly portfolio returns evince statistically and economically significant out‐of‐sample predictive ability for the market excess return. The predictive ability of anomaly portfolio returns appears to stem from asymmetric limits of arbitrage and overpricing correction persistence.","https://www.proquest.com/docview/2616565886?accountid=12870&bdid=124553&_bd=pmpe3gMBuWKeJH3W9IWPTE4AVG0%3D","https://doi.org/10.1111/jofi.13099"
"Rating Crop Insurance Contracts with Nonparametric Bayesian Model Averaging","","Liu, Yong; Ker, Alan P","Journal of Agricultural and Resource Economics","Scholarly Journals","","45","2","2020-05-01","May 2020","244","264","244-264","10685502","","","ENG","Crop insurance is plagued by relatively little historical information but significant spatial information. We investigate the efficacy of using nonparametric Bayesian model averaging (BMA) to incorporate extraneous information into the estimated premium rates. Nonparametric BMA is particularly suited to this application because it does not make any assumptions about parametric form or the extent to which yields are similar. We evaluate the proposed estimator under small-to-medium sample sizes and various geographical restrictions on the distance of spatial smoothing for policy relevance. The nonparametric BMA consistently decreases error and enables statistically significant and economically important rents to be captured.","https://www.proquest.com/docview/2427312064?accountid=12870&bdid=124553&_bd=CbHe37Of1CE%2BC0nZQRDr4tsLivc%3D","https://doi.org/10.22004/ag.econ.302453"
"The maturity premium","","Chaderina, Maria; Weiss, Patrick; Zechner, Josef","Journal of Financial Economics","Scholarly Journals","","144","2","2022-05-01","May 2022","670","","","0304405X","","","ENG","We show that firms with longer debt maturities earn risk premia not explained by unconditional factors. Embedding dynamic capital structure choices in an asset-pricing framework where the market price of risk evolves with the business cycle, we find that firms with long-term debt exhibit more countercyclical leverage. The induced covariance between betas and the market price of risk generates a maturity premium similar in size to our empirical estimate of 0.21% per month. We also provide direct evidence for the model mechanism and confirm that the maturity premium is consistent with observed leverage dynamics of long- and short-maturity firms.","https://www.proquest.com/docview/2662023440?accountid=12870&bdid=124553&_bd=Q9zkLcEKHyqmNeGTREAVTfS8Lw0%3D","https://doi.org/10.1016/j.jfineco.2021.07.008"
"Short term forecasting with support vector machines and application to stock price prediction","","Ince, Huseyin; Trafalis, Theodore B","International Journal of General Systems","Undefined","Taylor & Francis Ltd , 11 New Fetter Lane, London, EC4P 4EE, UK, [URL:http://www.tandf.co.uk]","37","6","2008-12-01","Dec. 2008","677","687","677-687","0308-1079","0308-1079","","ENG","Forecasting a stock price movement is one of the most difficult problems in finance. The reason is that financial time series are complex, non stationary. Furthermore, it is also very difficult to predict this movement with parametric models. Instead of parametric models, we propose two techniques, which are data driven and non parametric. Based on the idea that excess returns would be possible with publicly available information, we developed two models in order to forecast the short term price movements by using technical indicators. Our assumption is that the future value of a stock price depends on the financial indicators although there is no parametric model to explain this relationship. This relationship comes from the technical analysis. Comparison shows that support vector regression (SVR) out performs the multi layer perceptron (MLP) networks for a short term prediction in terms of the mean square error. If the risk premium is used as a comparison criterion, then the SVR technique is as good as the MLP method or better.","https://www.proquest.com/docview/35642830?accountid=12870&bdid=124553&_bd=DUvz%2Fn6w6tQApuIyOHQdCc%2FCMNk%3D","https://doi.org/10.1080/03081070601068595"
"Fluctuations in economic and activity and stabilization policies in the CIS","","Kiani, Khurshid M","Computational economics","Undefined","","37","2","2011-02-01","Feb 2011","193","220","193-220","0927-7099","0927-7099","","ENG","In this study, a highly flexible form of nonlinear time series models called artificial neural networks (ANNs) are employed to predict fluctuations in economic activity in selected members (Armenia, Azerbaijan, Georgia, Kazakhstan, and Kyrgyzstan) of the Commonwealth of Independent States (CIS) using macroeconomic time series [treasury bill rate (T-bill), long term bond rate (BondLT), money supply (MS), industrial production (IP), spread (10-year treasury bond rate less 3-month treasury bill rate), BRTB (bank rate less 3-month treasury bill rate), and GDP growth rate]. Forecasting recessions being very important though challenging, recessions in the selected countries are modeled recursively 1-10 quarters ahead out-of-sample using ANNs in conjunction with macroeconomic time series for all the countries. The out-of-sample forecast results show that in general no single macroeconomic variable employed appears to be useful for predicting recessions in any of the series. However, for Armenia, the treasury bill rate, industrial production, money supply, and the spread (the yield curve) are candidate variables for predicting recessions 1-10 quarters ahead. For Georgia, Kazakhstan, and Kyrgyzstan, the treasury bill rate and money supply series are candidate variables for predicting recessions 1-10 quarters ahead. Reprinted by permission of Springer","https://www.proquest.com/docview/853212355?accountid=12870&bdid=124553&_bd=dxyBdHITjDd4jaMbmWYLr2r3jQs%3D","https://doi.org/10.1007/s10614-010-9233-z"
"Measuring the Financial Value of Marketing Strategy with Excess Stock Market Return","","Lane, Vicki","International Journal of Risk and Contingency Management","Scholarly Journals","","3","4","2014-01-01","2014","1","16","1-16","21609624","","","ENG","This paper proposes excess stock market return as a way to measure the impact of marketing strategy on firm value. First, it provides an overview of event study method. An event study examines the excess return to a firm's stock price after the release of information that is relevant to the firm's financial success. Second, it shows how excess return captures a marketing strategy's impact on firm value. It presents a model that illustrates how a marketing strategy impacts consumers, future cash flows, firm value, investor's expectations, and excess return. Third, a comparison shows that excess return stacks up well against standard marketing metrics. Excess return yields unbiased estimates, allows direct causal inference, is future oriented, includes all cash flows, accounts for opportunity costs, factors in risk, and takes into account the time value of money.","https://www.proquest.com/docview/2932402876?accountid=12870&bdid=124553&_bd=xJ3ELb0CI68iP9JUhWqwhfHOCdk%3D","https://doi.org/10.4018/ijrcm.2014100101"
"A nonlinear factor analysis of S&P 500 index option returns","","Jones, Christopher S","Journal of finance","Undefined","","61","5","2006-10-01","Oct 2006","2325","2364","2325-2364","0022-1082","0022-1082","","ENG","Growing evidence suggests that extraordinary average returns may be obtained by trading equity index options, and that at least part of this abnormal performance is attributable to volatility and jump risk premia. This paper asks whether such priced risk factors are alone sufficient to explain these average returns. To provide an answer in as general as possible a setting, I estimate a flexible class of nonlinear models using all S&P 500 Index futures options traded between 1986 and 2000. The results show that priced factors contribute to these expected returns but are insufficient to explain their magnitudes, particularly for short-term out-of-the-money puts. Reprinted by permission of Blackwell Publishing","https://www.proquest.com/docview/36525587?accountid=12870&bdid=124553&_bd=Ej9SvP9IjAANYIA5V75rWqUjey4%3D",""
"Oil price dynamics and speculation: A multivariate financial approach","","Cifarelli, Giulio; Paladino, Giovanna","Energy Economics","Undefined","Elsevier B.V., The Boulevard Kidlington Oxford OX5 1GB United Kingdom","32","2","2010-03-01","Mar 1, 2010","363","372","363-372","0140-9883","0140-9883","","ENG","This paper assesses empirically whether speculation affects oil price dynamics. The growing presence of financial operators in the oil markets has led to the diffusion of trading techniques based on extrapolative expectations. Strategies of this kind foster feedback trading that may cause considerable departures of prices from their fundamental values. We investigate this hypothesis using a modified CAPM following Shiller (1984) and Sentana and Wadhwani (1992). First, a univariate GARCH(1,1)-M is estimated assuming the risk premium to be a function of the conditional oil price volatility. The single factor model, however, is outperformed by the multifactor ICAPM (Merton, 1973), which takes into account a larger investment opportunity set. Analysis is then carried out using a trivariate CCC GARCH-M model with complex nonlinear conditional mean equations where oil price dynamics are associated with both stock market and exchange rate behavior. We find strong evidence that oil price shifts are negatively related to stock price and exchange rate changes and that a complex web of time-varying first and second order conditional moment interactions affects both the CAPM and feedback trading components of the model. Despite the difficulties, we identify a significant role played by speculation in the oil market, which is consistent with the observed large daily upward and downward shifts in prices - a clear evidence that it is not a fundamental-driven market. Thus, from a policy point of view - given the impact of volatile oil prices on global inflation and growth - actions that monitor speculative activities on commodity markets more effectively are to be welcomed.","https://www.proquest.com/docview/1125230825?accountid=12870&bdid=124553&_bd=fEc7OqBQyJgUwQOe7owon%2BeHMmc%3D","https://doi.org/10.1016/j.eneco.2009.08.014"
"Forecasting time series subject to multiple structural breaks","","Pesaran, M Hashem; Pettenuzzo, Davide; Timmermann, Allan","Review of economic studies","Undefined","","73(4)","257","2006-10-01","Oct 2006","1057","1084","1057-1084","0034-6527","0034-6527","","ENG","This paper provides a new approach to forecasting time series that are subject to discrete structural breaks. We propose a Bayesian estimation and prediction procedure that allows for the possibility of new breaks occurring over the forecast horizon, taking account of the size and duration of past breaks (if any) by means of a hierarchical hidden Markov chain model. Predictions are formed by integrating over the parameters from the meta-distribution that characterizes the stochastic break-point process. In an application to U.S. Treasury bill rates, we find that the method leads to better out-of-sample forecasts than a range of alternative methods. Reprinted by permission of Blackwell Publishers","https://www.proquest.com/docview/36509894?accountid=12870&bdid=124553&_bd=iWrPUW6VuBY8XHcEQmQA4EoQifY%3D",""
"The Pruned State-Space System for Non-Linear DSGE Models: Theory and Empirical Applications","","Andreasen, Martin M; Fernández-Villaverde, Jesús; Rubio-Ramírez, Juan F","The Review of Economic Studies","Scholarly Journals","","85","1","2018-01-01","Jan 2018","1","","","00346527","","","ENG","This article studies the pruned state-space system for higher-order perturbation approximations to dynamic stochastic general equilibrium (DSGE) models. We show the stability of the pruned approximation up to third order and provide closed-form expressions for first and second unconditional moments and impulse response functions. Our results introduce generalized method of moments (GMM) estimation and impulse-response matching for DSGE models approximated up to third order and provide a foundation for indirect inference and simulated method of moments (SMM). As an application,we consider a New Keynesian model with Epstein-Zin preferences and two novel feedback effects from long-term bonds to the real economy, allowing us to match the level and variability of the 10-year term premium in the U.S. with a low relative risk aversion of 5. [web URL: https://academic.oup.com/restud/article/85/1/1/3897018]","https://www.proquest.com/docview/2001315937?accountid=12870&bdid=124553&_bd=owwHi0rnN0iwpXilctuoNmCZ2nE%3D",""
"Endogenous parameter time series estimation of the Ohlson model: linear and nonlinear analyses","","Morel, Mindy","Journal of business finance and accounting","Undefined","","30","9-10","2003-11-01","Nov 2003","1341","1362","1341-1362","0306-686X","0306-686X","","ENG","This paper tests the empirical validity of the Ohlson (1995) model on a firm-level time series basis. The coefficients of the earnings dynamic and valuation equations are first estimated by OLS. Next, recognizing the nonlinear relationships among the parameters, each equation is estimated by nonlinear Least Squares. Lastly, the model is estimated as a restricted system by nonlinear Least Squares and nonlinear SUR. In all cases, parameters are endogenously estimated. Irrespective of the estimation method, the Ohlson model often yields inconsistent or insignificant parameter estimates. Nevertheless, point estimates of equity risk premia are similar to those obtained from alternative methodologies. Reprinted by permission of Blackwell Publishers","https://www.proquest.com/docview/37848099?accountid=12870&bdid=124553&_bd=cy1kKZMGeUETy64qie%2BmN0gRMxQ%3D",""
"Event-based approach for probabilistic agricultural drought risk assessment under rainfed conditions","","Quijano, Juan A; Jaimes, Miguel A; Torres, Marco A; Reinoso, Eduardo; Castellanos, Luisarturo; Escamilla, Jesus; Ordaz, Mario","Natural Hazards","Undefined","Springer Science+Business Media, Van Godewijckstraat 30 Dordrecht 3311 GX Netherlands","76","2","2015-03-01","March 2015","1297","1318","1297-1318","0921-030X","1573-0840","","ENG","An event-based approach for the probabilistic risk assessment of agricultural drought under rainfed conditions to estimate the economic impact is proposed. The risk parameters are evaluated in an event-based probabilistic framework for a set of hazard events; these results are probabilistically integrated including, in a formal way, all uncertainties related to every part of the process. The hazard is defined as a stochastic or historic set of events, collectively exhaustive and mutually exclusive, that describes the spatial distribution, the annual frequency, and the randomness of the hazard intensity. The risk is expressed in different economic terms: the average annual loss (or pure risk premium) and the loss exceedance curve; these metrics are of particular importance for risk retention (financing) schemes or risk transfer instruments. As an illustrative example, this approach is applied to probabilistic drought risk assessment of maize under rainfed conditions in Mexico. These results are the base of further studies in defining strategies for financial protection against agricultural losses and disasters.","https://www.proquest.com/docview/1677928600?accountid=12870&bdid=124553&_bd=JzpEVvI2R8Uo8zYxkS3X34Xgynk%3D","https://doi.org/10.1007/s11069-014-1550-4"
"Investor attention and FX market volatility","","Goddard, John; Kita, Arben; Wang, Qingwei","Journal of international financial markets, institutions and money","Undefined","","38","","2015-09-01","Sep 2015","79","96","79-96","1042-4431","1042-4431","","ENG","We study the relationship between investors' active attention, measured by a Google search volume index (SVI), and the dynamics of currency prices. Investor attention is correlated with the trading activities of large FX market participants. Investor attention comoves with contemporaneous FX market volatility and predicts subsequent FX market volatility, after controlling for macroeconomic fundamentals. In addition, investor attention is related to the currency risk premium. Our results suggest that investor attention is a priced source of risk in FX markets.","https://www.proquest.com/docview/1721357705?accountid=12870&bdid=124553&_bd=HGO1nWhXP%2Fxv7YAlBv%2Bn58p0rXk%3D",""
"Asset market equilibrium under rational inattention","","Miao, Jianjun; Su, Dongling","Economic Theory","Scholarly Journals","","75","1","2023-01-01","Jan 2023","1","30","1-30","09382259","","","ENG","We propose a noisy rational expectations equilibrium model of asset markets with rationally inattentive investors. We incorporate any finite number of assets with arbitrary correlation. We also do not restrict the signal form and show that investors optimally choose a single signal, which is a noisy linear combination of all risky assets. This generates comovement of asset prices and contagion of shocks, even when asset payoffs are negatively correlated. The model also provides testable predictions of the impact of risk aversion, aggregate risk, and information capacity on the security market line, the portfolio dispersion, and the abnormal return.","https://www.proquest.com/docview/2761428805?accountid=12870&bdid=124553&_bd=N%2BO%2B%2FZ5mN4SjaAytbfzuBApNiVA%3D","https://doi.org/10.1007/s00199-021-01396-z"
"A sparse enhanced indexation model with chance and cardinality constraints","","Xu, Fengmin; Wang, Meihua; Yu-Hong, Dai; Xu, Dachuan","Journal of Global Optimization","Scholarly Journals","","70","1","2018-01-01","Jan 2018","5","25","5-25","09255001","","","ENG","Enhanced indexation aims to construct a portfolio to track and outperform the performance of a stock market index by employing both passive and active fund management strategies. This paper presents a novel sparse enhanced indexation model with chance and cardinality constraints. Its goal is to maximize the excess return that can be attained with a high probability, while the model allows a fund manger to limit the number of stocks in the portfolio and specify the maximum tolerable relative market risk. In particular, we model the asset returns as random variables and estimate their probability distributions by the Capital Asset Pricing Model or Fama-French 3-factor model, and measure the relative market risk with the coherent semideviation risk function. We deal with the chance constraint via distributionally robust approach and present a second-order cone programming and a semidefinite programming safe approximation for the model under different sets of potential distribution functions. A hybrid genetic algorithm is applied to solve the NP-hard problem. Numerical tests are conducted on the real data sets from major international stock markets, including USA, UK, Germany and China. The results demonstrate that the proposed model and the method can efficiently solve the enhanced indexation problem and our approach can generally achieve sparse tracking portfolios with good out-of-sample excess returns and high robustness.","https://www.proquest.com/docview/1992793726?accountid=12870&bdid=124553&_bd=t1S%2BxCnHrUQG2gVNXJqwGW1YRFQ%3D","https://doi.org/10.1007/s10898-017-0513-1"
"Investor Flows and the 2008 Boom/Bust in Oil Prices","","Singleton, Kenneth J","Management Science","Scholarly Journals","","60","2","2014-02-01","Feb 2014","300","","300-318","00251909","","","ENG","This paper explores the impact of investor flows and financial market conditions on returns in crude oil futures markets. I argue that informational frictions and the associated speculative activity may induce prices to drift away from ""fundamental"" values, and may result in price booms and busts. Particular attention is given to the interplay between imperfect information about real economic activity, including supply, demand, and inventory accumulation, and speculative activity in oil markets. Furthermore, I present new evidence that there were economically and statistically significant effects of investor flows on futures prices, after controlling for returns in the United States and emerging-economy stock markets, a measure of the balance sheet flexibility of large financial institutions, open interest, the futures/spot basis, and lagged returns on oil futures. The largest impacts on futures prices were from intermediate-term growth rates of index positions and managed-money spread positions. Moreover, my findings suggest that these effects were through risk or informational channels distinct from changes in convenience yield. Finally, the evidence suggests that hedge fund trading in spread positions in futures impacted the shape of term structure of oil futures prices. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/1503663915?accountid=12870&bdid=124553&_bd=wRfviGPh%2BsNn4V0NNeBbtRfDXmU%3D",""
"Two-Stage Classification Method for Individual Workout Status Prediction with Machine Learning Approach","","Noh, Yoonjae; Yoon, YoonIl; Kim, Sangjin","Measurement: Interdisciplinary Research and Perspectives","Undefined","Routledge","22","1","2024-01-01","2024","121","129","121-129","1536-6367","1536-6367","","ENG","The default risk, one of the main risk factors for bonds, should be measured and reflected in the bond yield. Particularly, in the case of financial companies that treat bonds as a major product, failure to properly identify and filter customers' workout status adversely affects returns. This study proposes a two-stage classification algorithm for workout prediction based on the history data of individual customers such as transaction details of financial companies secured after loans, which is collected over 10 years. The first stage is to rank variables that are closely related to the workout application based on feature selection. In the second step, the first to nth cumulative variables input to each machine learning method generate n candidate classifiers, respectively. Among the total candidates, the model with the highest classification accuracy was selected as the optimal one, which is the Gradient Boost combined with F-score-based feature selection.","https://www.proquest.com/docview/3040247096?accountid=12870&bdid=124553&_bd=PpDvXhZbHAdvKPXVgYvKq4oAjC0%3D","https://doi.org/10.1080/15366367.2023.2246109"
"The disappearance of style in the US equity market","","Hwang, S; Satchell, S E","Applied financial economics","Undefined","","17","7-9","2007-04-01","Apr 2007","597","613","597-613","0960-3107","0960-3107","","ENG","This article investigates the modelling of style returns in the United States and the returns to style 'tilts' based on forecasts of enhanced future style returns. We use hidden Markov model to build our forecasts for data from 1975 to 1998. We do not include more recent observations as the subsequent trend and volatility sways the analysis. Our finding that style returns are less forecastible in the late 1990s is consistent with the hypothesis that style returns are the result of anomalies rather than risk premia. The erosion of anomalous returns as public awareness of their presence is translated into strategies that arbitrage away the excess returns seems to be a hypothesis consistent with our modelling results. Reprinted by permission of Routledge, Taylor and Francis Ltd.","https://www.proquest.com/docview/36819681?accountid=12870&bdid=124553&_bd=pVKo0IPfmLATPY6Zn8dh7pTkACQ%3D","https://doi.org/10.1080/09603100701217978"
"Distributional modeling and forecasting of natural gas prices","","Berrisch, Jonathan; Ziel, Florian","Journal of Forecasting","Scholarly Journals","","41","6","2022-09-01","Sep 2022","1065","1086","1065-1086","02776693","","","ENG","We examine the problem of modeling and forecasting European day‐ahead and month‐ahead natural gas prices. For this, we propose two distinct probabilistic models that can be utilized in risk and portfolio management. We use daily pricing data ranging from 2011 to 2020. Extensive descriptive data analysis shows that both time series feature heavy tails and conditional heteroscedasticity and show asymmetric behavior in their differences. We propose state‐space time series models under skewed, heavy‐tailed distributions to capture all stylized facts of the data. They include the impact of autocorrelation, seasonality, risk premia, temperature, storage levels, the price of European Emission Allowances, and related fuel prices of oil, coal, and electricity. We provide rigorous model diagnostics and interpret all model components in detail. Additionally, we conduct a probabilistic forecasting study with significance tests and compare the predictive performance against literature benchmarks. The proposed day‐ahead (month‐ahead) model leads to a 13% (9%) reduction in out‐of‐sample continuous ranked probability score (CRPS) compared with the best performing benchmark model, mainly due to adequate modeling of the volatility and heavy tails.","https://www.proquest.com/docview/2697530944?accountid=12870&bdid=124553&_bd=cXLJWZ0%2BBFleqNF1oz8edpGO3Ek%3D","https://doi.org/10.1002/for.2853"
